Original_Description,Manual_Category_Selected,Manual_Subcategory_Selected,
electric%20battery-operated%20light%20board%20for%20toddler,Toys and Games,"Electronic Games, Pinball, Air Hockey Etc.",
medium%20talking%20stuffed%20animal,Toys and Games,Stuffed Animals,
Pack%20of%20ciggarrettes,Personal Care and Beauty,"Pipes, Vapes, Supplies Smoking",
Marble Lazy Susan,Furniture,Microwave Cart and Stands,
mega%20lite%20ittle%20giant%20ladder,Tools,Ladders,
4%20sorter%20laundry%20basket,Housewares Home Decor,Hampers,
US Army Male Enlisted Class A Army Green Unform- Short Sleeved Shirt,Clothing and Accessories,Military Uniforms,
TV tray,Housewares Home Decor,TV Trays,
Sanus electronic equipment rack,Furniture,Microwave Cart and Stands,
Food,Food Supplies,Beverages and Staples,
Purses from Kate Spade,Clothing and Accessories,Handbags and Purses More than $150,
bathroom scale healthometer,Personal Care and Beauty,Scales - Bathroom,
Redrider%20BB%20gun%20madel%20105b%204.5mm,Sporting Goods and Outdoors,Firearms and Accessories,
X-ACTO® #2 Aluminum Knife,Personal Care and Beauty,Pocket Knife,
"seven, 30"" by 10' blooms pink poinsettas with sparkles velvet and beaded artificial floral",Housewares Home Decor,Artificial Flowers and Fruits,
Kids%20learning%20workbooks/activity%20books,Toys and Games,Other Children's Games and Toys (Including Dolls),
Spices/%20Pepper/Garlic%20Power/Cayenne%20Etc%20-%20Great%20Value%20and%20McCormicks,Food Supplies,Canned - Commercial & Home,
Fuzzy Purple Handuffs,Personal Care and Beauty,Adult Toys,
Fur%20Jacket,Clothing and Accessories,Furs,
Women's Denali Hoodie,Clothing and Accessories,"Coats, Jackets, Suits",
303 British WWII rifle,Sporting Goods and Outdoors,Collectable Firearm,
Kitchen%20Aid%20stand%20mixer,Appliances,Major Appliances Over $200 (except for below),
Dining%20Room%20Chairs%20Wicker%20Seats,Furniture,Wicker or Rattan,
Large%20stuffed%20toy,Toys and Games,Stuffed Animals,
"Floppy%20Stuffed%20Dog%20Puppy%20Plush%20Toy,%20Huggable%20Beagle%20Labrador%20Retriever%20Stuffed%20Animal%20Dogs%20for%20Kids%20Girls%20Boys%20Baby%20Birthday%20Gift,%2020%20inch,%20Brown",Toys and Games,Stuffed Animals,
Lavin crepe dress,Clothing and Accessories,Luxury Goods,
"Firearm, Glock, Model 19gen4, Pistol, 9mm, SN: BDMP805 ,Bowie Tactical Concepts Custom",Sporting Goods and Outdoors,Firearms and Accessories,
Colgate Minnie Mouse Brushtastic Gift Pack,Toys and Games,Other Children's Games and Toys (Including Dolls),
Dyson%20Airwrap,Personal Care and Beauty,"Appliances-Curling Irons, Hair Dryer Etc.",
"2 bell shaped lamp shades silk cream 17"" by 11""by 12""",Housewares Home Decor,Lamp Shade,
Motor%20Stands,Tools,Pneumatic Tools - Over $200,
Pretty%20brand%20Paint%20Brush%203-inch,Tools,"Specialty Tools - Woodworking, Engineering, Drafting",
Floor jewelery box,Housewares Home Decor,"Boxes - Jewelry, Music Etc.",
Window Blinds,Housewares Home Decor,Venetian Blinds,
Kroger Hazelnut Coffee Creamer 946 ml,Food Supplies,Beverages and Staples,
Snap%20ON%2084%22%2018-Drawer%20Triple-Bank%20EPIQ%E2%84%A2%20Series%20Drawer%20Section%20(Red)%20KESN843A0PBO,Tools,Work Benches - Over $500,
Makeup%20Vanity,Furniture,Ordinary Furniture,
"Speed Stick Power Men Antiperspirant Deodorant, Fresh, 3 oz",Personal Care and Beauty,Toiletries,
T-Rex Shaped Push Bubble Toy,Toys and Games,Other Children's Games and Toys (Including Dolls),
Candle%20lighter%20Above%20fireplace,Personal Care and Beauty,Cigarette Lighter,
Top load Washer and Dryer,Appliances,Washing Machine,
Bloem%20Saturn%20Planter%20w/%20Saucer%2014%22%20Deep%20Sea%20Blue,Housewares Home Decor,Houseplants - Indoor,
Candle%20lighter%20Above%20fireplace,Personal Care and Beauty,Cigarette Lighter,
Sakrete%20(bag),Tools,Lifetime Warranty Tools,
Clock,Housewares Home Decor,Clocks Under $25 New,
whirlpool top control 24 inch built in diswasher,Appliances,Dishwasher,
Taco sauce,Food Supplies,Canned - Commercial & Home,
KISS Nail Glue x 2,Personal Care and Beauty,Cosmetics / Makeup,
NuRecover%20Portable%20Ice%20Bath,Appliances,"Hot Tub, Spa",
"hot%20compress,%20CVS",Personal Care and Beauty,Hearing Aid,
1 line art charmont glasses case,Housewares Home Decor,Vases,
Work uniform: 1 Vest,Clothing and Accessories,Work Uniform,
television stand with electric heater,Furniture,Ordinary Furniture,
Health & Beauty,Personal Care and Beauty,Cosmetics / Makeup Un-Opened,
Li’l Woodzeez Doctor Playlet with Accessories 35pc - Walk-in Health Clinic,Toys and Games,Other Children's Games and Toys (Including Dolls),
Power Reclining Sofa Set (Gray Leather),Furniture,Ordinary Furniture,
Vicky Tiel black dress,Clothing and Accessories,Luxury Goods,
2 antique musical cigarette lighters (1960s),Personal Care and Beauty,Cigarette Lighter,
Round%20Marble%20table,Furniture,"Marble Lamps, Table Tops etc.",
Leupold VX 5HD 3-15x44 CDS-ZL2 \n 30mm side focus Illum. Fire dot duplex  \n 172368 I have burned scope,Sporting Goods and Outdoors,Scope,
"Women's%20Pullovers%20-%20rain%20jackets,%20sweatshirts,%20etc",Clothing and Accessories,"Coats, Jackets, Suits",
Make%20up%20storage%20box,Housewares Home Decor,"Boxes - Jewelry, Music Etc.",
Killerspin Ping Pong Table,Toys and Games,"Gaming Equipment, Poker Chips, Chess, Backgammon Etc.",
Bottle%20of%20Marshall%20Field's%20Franco%20almond%20liqueur,Food Supplies,Alcoholic Beverages,
Scissors,Personal Care and Beauty,Scissors,
Large Burlap Bag,Toys and Games,"Electronic Games, Nintendo, Atari, Sony PlayStation, Handheld, Cartridges, Disks",
wicker storage brown wicker chest,Furniture,Wicker or Rattan,
Leupold Mark 5HD 5-25x56 M5C3 35mm Front Focal TMR 171772 Rifle scope I have burned scope and original box,Sporting Goods and Outdoors,Scope,
Compaq%20IJ600%20Printer,Electronics,Electronic Accessories,
Coloring cardboard  playhouse,Toys and Games,Playing Cards Unopened,
Bubble Wand,Toys and Games,Other Children's Games and Toys (Including Dolls),
Skip Hop Mat,Toys and Games,"Gaming Equipment, Poker Chips, Chess, Backgammon Etc.",
Tackle box,Sporting Goods and Outdoors,Boating Equipment and Supplies,
Hermes Accessory: Change Tray,Housewares Home Decor,TV Trays,
Green Billy Ball Stem - Threshold,Housewares Home Decor,Artificial Flowers and Fruits,
100% Human Hair Individual Single Loc Microlocks Dreadlocks Extensions Handmade Various Width Lengths and Colors,Personal Care and Beauty,"Wigs, Hairpieces - Under $100",
"area%20rug,%2010'%20x%208'",Housewares Home Decor,Rugs Under $500,
9.5'x5.11'%20Area%20Rug%20Hand%20Made%20Indian,Housewares Home Decor,"Rugs $1,000 or More",
Rolled%20Roofing%20Nails%20(Box),Tools,Lifetime Warranty Tools,
Drapes & Rod,Housewares Home Decor,Venetian Blinds,
Cool Kit,Personal Care and Beauty,Barber Equipment,
Snow%20suit%20top%20(Diego),Clothing and Accessories,"Coats, Jackets, Suits",
Leupold Mark 5HD 5-25x56 M5C3 35mm Front Focal TMR 171772 Rifle scope I have burned scope and original box,Sporting Goods and Outdoors,Scope,
Hot Hands Lap Warmers QTY 4,Personal Care and Beauty,Heating Pad,
Suite Gray Pants & Jacket,Clothing and Accessories,"Formal Wear, Wedding Gowns, Christening Outfits",
Metal%20golden%20container,Furniture,Military Display Cases,
Leupold VX 5HD 3-15x44 CDS-ZL2 \n 30mm side focus Illum. Fire dot duplex  \n 172368 I have burned scope,Sporting Goods and Outdoors,Scope,
Mirror,Housewares Home Decor,Mirrors & Framed Mirrors,
Lighter,Personal Care and Beauty,Cigarette Lighter,
fireplace utensils 5 piece black,Housewares Home Decor,Fireplace Screens and Accessories,
Sofa Bovarian collection apk56103r2,Furniture,Hardwood Furniture,
washer whirlpool set,Appliances,Washing Machine,
Coloring cardboard  playhouse,Toys and Games,Playing Cards Unopened,
Metal%20golden%20container,Furniture,Military Display Cases,
Bathmat,Housewares Home Decor,Rugs Under $500,
4%22Diamond%20Cup%20Fine%20Grinder,Tools,Power Tools & Accessories - Under $100,
"24"" cabinet speakers",Electronics,"TV, Stereos, Speakers, Amplifiers, Etc.",
Euronext%20Real%20Hair%20Wig,Personal Care and Beauty,"Wigs, Hairpieces - $100 - $250",
Auto%20Cleaners%20-%20Wax/%20Armor%20All/%20Care%20Care,Housewares Home Decor,"House-keeping items, Mops, Brooms, Pails Etc.",
wall%20poster,Housewares Home Decor,Posters - Framed or Unframed,
Lelo Enigma,Personal Care and Beauty,Adult Toys,
Leaf%20blower,Tools,Power Tools & Accessories - Over $100,
Sanus electronic equipment rack,Furniture,Microwave Cart and Stands,
wall%20art%3A%20long%20rectangular%20oil%20landscape,Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Over $1000",
Wood Sofa Tables,Furniture,"Marble Lamps, Table Tops etc.",
large dried real starfish,Housewares Home Decor,Artificial Flowers and Fruits,
"West%20Elm%20couch%20pillows%20with%20covers%20x%202%20-%20original%20no%20longer%20available,%20linked%20close",Housewares Home Decor,Pillow - Accent,
17x25 fireplace screen/grill 3 section,Housewares Home Decor,Fireplace Screens and Accessories,
Hair Straightener,Personal Care and Beauty,"Appliances-Curling Irons, Hair Dryer Etc.",
Kenmore Topload HE Washer,Appliances,Washing Machine,
Coleman%20Hot%20Tub,Appliances,"Hot Tub, Spa",
Food goods - Unprepared - Enter Price,Food Supplies,Canned - Commercial & Home,
Dart Board,Toys and Games,"Gaming Equipment, Poker Chips, Chess, Backgammon Etc.",
9x12 area rug Layla Collection LAY-03 Olive/Charcoa,Housewares Home Decor,Rugs Under $500,
Blu%20Ray,Electronics,"DVD, Blu-Ray Player & DVR",
Blink%20Security%20Cameras,Electronics,Video Recorders,
Vice%20Attached%20to%20Work%20Bench,Tools,Work Benches - Under $500,
US Army Male Enlisted Class A Army Green Uniform-Belt,Clothing and Accessories,Military Uniforms,
Samsung super speed washer W/ steam,Appliances,Washing Machine,
"vintage rectangular lampshade cream white  16"" wide 8"" deep",Housewares Home Decor,Lamp Shade,
Blouse,Clothing and Accessories,"Coats, Jackets, Suits",
Sanus electronic equipment rack,Furniture,Microwave Cart and Stands,
HANDGUN%20.380%20DIAMOND%20BACK,Sporting Goods and Outdoors,Firearms and Accessories,
Fur%20Jacket,Clothing and Accessories,Furs,
US Army Male Enlisted Class A Army Green Uniform Tie,Clothing and Accessories,Military Uniforms,
Television%20Wall%20Mount%20up%20to%2070%20Inch%20Unit,Electronics,"TV, Stereos, Speakers, Amplifiers, Etc.",
32 fl oz btl Murphy's Oil Soap,Food Supplies,Canned - Commercial & Home,
Food,Food Supplies,Canned - Commercial & Home,
gaming%20headphones,Electronics,Video Game Console,
"20"" X 24"" wood frame mountain print",Housewares Home Decor,"Paintings, Pictures, Signed & Numbered, Prints, Etchings Etc. Over $1000",
Swiffer Dusters,Housewares Home Decor,"House-keeping items, Mops, Brooms, Pails Etc.",
"Ziploc%20bags,%20opened%3A%201%20gallon,%201%20quart,%201%20sandwich",Food Supplies,Canned - Commercial & Home,
Serta%20Tranquility%20Eco%20Firm%202-Stage%20Crib%20and%20Toddler%20Mattress,Furniture,Infant and Children,
microwave,Appliances,Microwaves,
Fake%20hair%20braids,Personal Care and Beauty,"Wigs, Hairpieces - Under $100",
Lawn Chairs - Aluminum Folding Chairs,Furniture,Lawn Furniture,
Cologne - Versace eros 3.40z,Personal Care and Beauty,"Brushes - Clothes, Hair",
Ladies' wig - Stock - High grade,Personal Care and Beauty,"Wigs, Hairpieces - Over $250",
"5/8""x 16"" Long Shaft Irwin Speed Bore",Tools,"Tool chests, tool boxes and tool carts - Over $200",
WATERPIK%20SET%20FLOSSER,Personal Care and Beauty,Cosmetics / Makeup Un-Opened,
LED%20Mardi%20Gras%20Velvet%20Jester%20Hat,Housewares Home Decor,Decorations - Holiday,
remote%20control%20monster%20trucks,Toys and Games,Electric Trains,
6'%20long%20bow,Sporting Goods and Outdoors,Sporting Equipment and Supplies,
Pack%20of%20ciggarrettes,Personal Care and Beauty,"Pipes, Vapes, Supplies Smoking",
Curtain metal holder $100 age 3 month,Housewares Home Decor,Curtains & Draperies,
remote%20control%20monster%20trucks,Toys and Games,Electric Trains,
Balsam Hill Fir -flip tree-10ft - color and clear LED,Housewares Home Decor,Artificial Flowers and Fruits,
Waterpik Cordless Plus Water Flosser,Personal Care and Beauty,Dental Equipment,
Piano%20Bench,Furniture,Ordinary Furniture,
Artificial%20Tree,Housewares Home Decor,Artificial Flowers and Fruits,
8' LUCAS POOL TABLE,Sporting Goods and Outdoors,Pool & Billiard Tables Expensive Hardwood,
Nail clippers,Personal Care and Beauty,Cosmetics / Makeup Un-Opened,
Laundry Basket,Housewares Home Decor,Hampers,
"Shop Manuals automotive, atv's, washer/dryer,",Appliances,Minor Appliances Under $200,
Round%20Point%20Shovel,Tools,Lifetime Warranty Tools,
microwave sharp,Appliances,Microwaves,
counter top microwave,Appliances,Microwaves,
RAZORS,Personal Care and Beauty,Razor - Steel,
Google - Nest Learning Smart Wifi Thermo,Appliances,Major Appliances Over $200 (except for below),
Fake%20hair%20braids,Personal Care and Beauty,"Wigs, Hairpieces - Under $100",
Dakine%20Method%20Backpack,Clothing and Accessories,Handbags and Purses Less than $150,
2 curtain rods black,Housewares Home Decor,Curtains & Draperies,
"Countertop, with sink",Furniture,"Marble Lamps, Table Tops etc.",
"dried%20goods%20-%20canned%20meat,%20breads,%20pastas,%20sauces",Food Supplies,Canned - Commercial & Home,
Light%20bulb%20Fluorescent,Housewares Home Decor,"Lamps, Lighting & Supplies",
4%20sorter%20laundry%20basket,Housewares Home Decor,Hampers,
WATERPIK%20SET%20FLOSSER,Personal Care and Beauty,Cosmetics / Makeup Un-Opened,
"Craftsman 7 1/4"" Corded Circular Saw 15 amp",Tools,Power Tools & Accessories - Under $100,
Outdoor%20metal%20dining%20set%20with%206%20swivel%20chairs%20w/cushions%20and%20glass%20top,Furniture,Lawn Furniture,
1/4%22%20WOOD%20TABLE%20COVER%20PADS%20(FELT%20%26%20VINYL),Sporting Goods and Outdoors,Pool & Billiard Tables Low to Average Quality,
rug runner and pad (3x97.99),Housewares Home Decor,Rugs $500-$999,
Microwave,Appliances,Microwaves,
carbide burr set,Tools,Power Tools & Accessories - Under $100,
1 chanel blush #22 12 m,Personal Care and Beauty,Cosmetics / Makeup,
oriental%20rug%20black/beige/red%20diamond%20pattern,Housewares Home Decor,"Rugs $1,000 or More",
Coach Leather Tote Purse,Clothing and Accessories,Handbags and Purses More than $150,
"Hurtle 3-Wheeled Scooter for Kids, Stand & Cruise Child/Toddlers Toy Folding Kick Scooters w/Adjustable Height, Anti-Slip Deck, Flashing Wheel Lights, for Boys/Gifrls 2-12 Years old",Toys and Games,"Scooter, Tricycle, Wagon",
"magazine%20case,%20wood%20-%20insured%20would%20like%20to%20keep%20this%20item",Housewares Home Decor,Bookends,
2 crescent garden planters,Housewares Home Decor,Houseplants - Indoor,
icy hot pain relieving cream 3oz 1/4 full,Personal Care and Beauty,Wheelchair,
Fur%20Zip%20up%20Coat,Clothing and Accessories,Furs,
Deck of Playing Cards Phillies,Toys and Games,Playing Cards,
"PUPA%20Milano%20Like%20A%20Doll%20Compact%20Powder%20-%20Creamy,%20Radiant%20Pressed%20Formula%20-%20Conceal%20And%20Blur%20Imperfections%20-%20Buildable%20Coverage%20Delivers%20Perfect%20Finishing%20Touch%20Of%20Color%20-%20002%20Sublime%20Nude%20-%200.07%20Oz",Personal Care and Beauty,Cosmetics / Makeup,
1 tanquerary noten gin 750ml,Food Supplies,Alcoholic Beverages,
X-ACTO® #2 Aluminum Knife,Personal Care and Beauty,Pocket Knife,
Wahl%20Hair%20Trimmer,Personal Care and Beauty,Barber Equipment,
Ladies' wig - Stock - High grade,Personal Care and Beauty,"Wigs, Hairpieces - Over $250",
Leupold Mark 5HD 5-25x56 M5C3 35mm Front Focal TMR 171772 Rifle scope I have burned scope and original box,Sporting Goods and Outdoors,Scope,
Black garment bag,Clothing and Accessories,"Formal Wear, Wedding Gowns, Christening Outfits",
Street Race 12V electric kids battery powered ride on Motorcycle,Toys and Games,"Scooter, Tricycle, Wagon",
Toothbrush,Personal Care and Beauty,Dental Equipment,
Ninja Blender,Appliances,Minor Appliances Under $200,
dryer general electric gas,Appliances,Dryer - Electric or Gas,
Prescription glasses case,Personal Care and Beauty,"Eye Glasses, Contacts",
Microwave,Appliances,Microwaves,
1 small black umbrella,Clothing and Accessories,Umbrella,
Bottle%20of%20Bogle%20wine,Food Supplies,Alcoholic Beverages,
"End tables, black, Lack",Furniture,Particle Board Furniture,
Ladies' wig - Stock - High grade,Personal Care and Beauty,"Wigs, Hairpieces - Over $250",
2 fans that blow mist out,Appliances,Minor Appliances Under $200,
"TV Tray Set 5 piece snack table set, winsome wood by alex",Housewares Home Decor,TV Trays,
"22"" x 25"" Jumbo Easter Basket Cellophane Bags - 12 Pc.",Housewares Home Decor,Decorations - Holiday,
Eyedrops,Personal Care and Beauty,"Eye Glasses, Contacts",
Viva La Juicy Gold Couture Frangrance 1 fl oz,Personal Care and Beauty,Toiletries,
delta children 9 bin toy organizer - 80213074968,Furniture,Infant and Children,
Hpi Racing RT 615 Drift RC car with remote and drift tires waterproof 24ghz Print 2 drift,Toys and Games,Electric Trains,
razors,Personal Care and Beauty,Razor - Steel,
Goody%20Shine%20On%20Clean%20Radiance%20Oval%20Brush%20with%20Copper%20Bristles,Personal Care and Beauty,"Brushes - Clothes, Hair",
Pearington Folding TV Trays - Set of 4,Housewares Home Decor,TV Trays,
303 British WWII rifle,Sporting Goods and Outdoors,Collectable Firearm,
"end tables 2 large,2 small metal and wicker",Furniture,Wicker or Rattan,
Toilet Brush/Plunger Mr. Siga,Housewares Home Decor,"House-keeping items, Mops, Brooms, Pails Etc.",
6 Month Supply of Biofinity XR toric Contact Lenses (-5.50),Personal Care and Beauty,"Eye Glasses, Contacts",
Sanus electronic equipment rack,Furniture,Microwave Cart and Stands,
Plastic%20Box%20for%20Dentures,Personal Care and Beauty,Dentures,
Blink%20Sync%20Module%202,Electronics,Video Recorders,
"End tables, black, Lack",Furniture,Particle Board Furniture,
Vtech Go Go Smart Wheels Garbage Truck and Excavator,Toys and Games,"Radio Controlled Cars, Boats Etc.",
Round%20area%20rug%20Kane%20carpet%20(laundry%20room),Housewares Home Decor,Rugs $500-$999,
Craftsmen Tool box 8 drawer Top 5 drawer Bottom,Tools,"Tool chests, tool boxes and tool carts - Over $200",
56%20IN%20TAKEDOWN%20HUNTING%20RECURVE%20BOW%2050PDS%20TOPARCHERY,Sporting Goods and Outdoors,Camping Equipment & Supplies,
